,apple,banana,bell_pepper,carrot,cucumber,garlic,grape,heic,kiwi,lemon,mango,onion,orange,potato,strawberry,tomato
apple,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
banana,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bell_pepper,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
carrot,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
cucumber,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
garlic,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
grape,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
heic,3,0,4,4,0,3,1,11,2,0,0,3,0,1,0,0
kiwi,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
lemon,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
mango,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
onion,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
orange,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
potato,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
strawberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
